Trip Start Timestamp,Pickup Community Area,Dropoff Community Area,Trip Total
4/7/2016 0:00,8,8,8.75
4/7/2016 0:00,28,8,13.8
4/7/2016 0:00,32,8,8.75
4/7/2016 0:00,5,6,7.75
4/7/2016 0:00,76,24,51
4/7/2016 0:00,28,28,5.5
4/7/2016 0:00,76,33,51.5
4/7/2016 0:00,32,6,20.4
4/7/2016 0:00,24,24,8.5
4/7/2016 0:00,8,8,3.25
4/7/2016 0:00,22,8,13
4/7/2016 0:00,32,6,20.41
4/7/2016 0:00,8,8,8.5
4/7/2016 0:00,76,6,47.15
4/7/2016 0:00,3,3,3.25
4/7/2016 0:00,28,7,10
4/7/2016 0:00,56,28,32.75
4/7/2016 0:00,14,14,6.5
4/7/2016 0:00,32,33,4.5
4/7/2016 0:00,6,1,16.5
4/7/2016 0:00,24,24,5
4/7/2016 0:00,6,3,5.25
4/7/2016 0:00,8,8,7
4/7/2016 0:00,6,6,6.25
4/7/2016 0:00,32,77,24.25
4/7/2016 0:00,3,6,9.75
4/7/2016 0:00,24,6,10.5
4/7/2016 0:00,32,24,9.25
4/7/2016 0:00,32,32,5.75
4/7/2016 0:00,32,28,9.5
4/7/2016 0:00,8,28,6.5
4/7/2016 0:00,7,8,10.25
4/7/2016 0:00,32,8,5.5
4/7/2016 0:00,32,8,7
4/7/2016 0:00,21,6,8
4/7/2016 0:00,24,22,17.5
4/7/2016 0:00,6,6,8.5
4/7/2016 0:00,16,16,7.5
4/7/2016 0:00,7,5,15.5
4/7/2016 0:00,8,7,14.25
4/7/2016 0:00,32,27,19.2
4/7/2016 0:00,32,24,9.75
4/7/2016 0:00,60,60,3.5
4/7/2016 0:00,32,24,10.25
4/7/2016 0:00,7,6,10.25
4/7/2016 0:00,8,32,10.5
4/7/2016 0:00,32,14,25
4/7/2016 0:00,28,32,16
4/7/2016 0:00,32,5,19.5
4/7/2016 0:00,32,3,23
4/7/2016 0:00,5,6,5
4/7/2016 0:00,7,24,12
4/7/2016 0:00,32,8,11.5
4/7/2016 0:00,28,28,5.25
4/7/2016 0:00,32,28,8.75
4/7/2016 0:00,8,24,10.75
4/7/2016 0:00,8,8,10.75
4/7/2016 0:00,8,33,12.75
4/7/2016 0:00,32,28,5.75
4/7/2016 0:00,32,32,6.25
4/7/2016 0:00,28,8,10
4/7/2016 0:00,28,8,9.75
4/7/2016 0:00,8,24,9.5
4/7/2016 0:00,32,7,14.05
4/7/2016 0:00,24,28,8.75
4/7/2016 0:00,32,32,7
4/7/2016 0:00,7,4,19.25
4/7/2016 0:00,28,8,10
4/7/2016 0:00,32,6,15.25
4/7/2016 0:00,32,6,24.35
4/7/2016 0:00,28,24,11
4/7/2016 0:00,6,6,6.5
4/7/2016 0:00,8,32,9
4/7/2016 0:00,24,8,11
4/7/2016 0:00,8,8,6.25
4/7/2016 0:00,8,8,5.75
4/7/2016 0:00,8,32,5.25
4/7/2016 0:00,8,7,9
4/7/2016 0:00,32,7,12
4/7/2016 0:00,32,24,15
4/7/2016 0:00,32,8,9.5
4/7/2016 0:00,28,8,12.25
4/7/2016 0:00,32,8,8
4/7/2016 0:00,32,28,14
4/7/2016 0:00,24,6,20
4/7/2016 0:00,8,32,6
4/7/2016 0:00,8,77,25.5
4/7/2016 0:00,8,32,8
4/7/2016 0:00,32,32,9.75
4/7/2016 0:00,32,16,24.9
4/7/2016 0:00,8,32,11
4/7/2016 0:00,32,32,6.5
4/7/2016 0:00,8,33,9.75
4/7/2016 0:00,8,6,18
4/7/2016 0:00,8,28,7.25
4/7/2016 0:00,28,7,14
4/7/2016 0:00,28,7,11.25
4/7/2016 0:00,6,6,4.25
4/7/2016 0:00,32,8,7.75
4/7/2016 0:00,28,8,10.25
4/7/2016 0:00,32,8,9.5
4/7/2016 0:00,28,8,10.75
4/7/2016 0:00,11,14,8.25
4/7/2016 0:00,28,4,27.25
4/7/2016 0:00,7,24,9.75
4/7/2016 0:00,32,4,34.65
4/7/2016 0:00,32,28,6.75
4/7/2016 0:00,32,7,12.6
4/7/2016 0:00,32,32,7.75
4/7/2016 0:00,6,7,7.75
4/7/2016 0:00,28,32,11.75
4/7/2016 0:00,28,8,8.5
4/7/2016 0:00,3,32,29.1
4/7/2016 0:00,28,35,11
4/7/2016 0:00,8,8,5
4/7/2016 0:00,32,8,6.25
4/7/2016 0:00,32,32,7.5
4/7/2016 0:00,32,28,7.25
4/7/2016 0:00,32,28,10.25
4/7/2016 0:00,32,7,17.8
4/7/2016 0:00,32,7,17
4/7/2016 0:00,28,24,7.75
4/7/2016 0:00,32,28,10.25
4/7/2016 0:00,8,33,11
4/7/2016 0:00,32,6,18
4/7/2016 0:00,7,32,11.75
4/7/2016 0:00,32,24,10.25
4/7/2016 0:00,8,32,11.5
4/7/2016 0:00,28,28,4
4/7/2016 0:00,8,3,18
4/7/2016 0:00,8,32,9.5
4/7/2016 0:00,28,28,7.25
4/7/2016 0:00,32,32,6
4/7/2016 0:00,32,3,20.75
4/7/2016 0:00,32,22,16.8
4/7/2016 0:00,6,4,7.5
4/7/2016 0:00,32,7,18.4
4/7/2016 0:00,8,32,8.75
4/7/2016 0:00,28,8,13.2
4/7/2016 0:00,8,24,16.75
4/7/2016 0:00,28,28,7.5
4/7/2016 0:00,28,32,15.5
4/7/2016 0:00,8,33,10
4/7/2016 0:00,32,8,9
4/7/2016 0:00,6,28,21.5
4/7/2016 0:00,32,7,19.5
4/7/2016 0:00,28,33,12.5
4/7/2016 0:00,28,24,13.5
4/7/2016 0:00,32,3,23.1
4/7/2016 0:00,6,6,6.75
4/7/2016 0:00,6,22,13.5
4/7/2016 0:00,8,8,5
4/7/2016 0:00,28,8,16.25
4/7/2016 0:00,6,6,9.25
4/7/2016 0:00,8,8,5.75
4/7/2016 0:00,32,6,19.5
4/7/2016 0:00,7,6,11.5
